X(m), Y(m), Z(m), Ex(Re), Ex(Im), Ey(Re), Ey(Im), Ez(Re), Ez(Im)
-2946.861752, 0.000000, 562.143944, -0.000001, 0.000001, -0.000000, 0.000000, -0.000008, 0.000000
-2927.750286, 0.000000, 654.429724, -0.000001, -0.000000, -0.000000, 0.000000, -0.000006, -0.000005
-2905.749483, 0.000000, 746.069661, -0.000001, -0.000001, -0.000000, 0.000000, -0.000001, -0.000009
-2880.881057, 0.000000, 836.973318, 0.000001, -0.000002, -0.000000, 0.000000, 0.000005, -0.000008
-2853.169549, 0.000000, 927.050983, 0.000002, -0.000001, -0.000000, 0.000000, 0.000010, -0.000004
-2822.642307, 0.000000, 1016.213761, 0.000003, 0.000001, -0.000000, 0.000000, 0.000010, 0.000003
-2789.329458, 0.000000, 1104.373658, 0.000001, 0.000004, -0.000000, 0.000000, 0.000006, 0.000009
-2753.263877, 0.000000, 1191.443672, -0.000001, 0.000004, -0.000000, 0.000000, -0.000002, 0.000010
-2714.481157, 0.000000, 1277.337875, -0.000004, 0.000002, -0.000000, 0.000000, -0.000007, 0.000004
-2673.019573, 0.000000, 1361.971499, -0.000004, -0.000002, -0.000000, 0.000000, -0.000006, -0.000003
-2628.920040, 0.000000, 1445.261022, -0.000000, -0.000003, -0.000000, -0.000000, 0.000001, -0.000006
-2582.226081, 0.000000, 1527.124247, 0.000003, -0.000001, -0.000000, -0.000000, 0.000007, -0.000002
-2532.983777, 0.000000, 1607.480385, 0.000003, 0.000003, -0.000000, -0.000000, 0.000006, 0.000006
-2481.241723, 0.000000, 1686.250134, -0.000001, 0.000005, -0.000000, -0.000000, -0.000002, 0.000009
-2427.050983, 0.000000, 1763.355757, -0.000005, 0.000002, 0.000000, -0.000000, -0.000008, 0.000004
-2370.465037, 0.000000, 1838.721161, -0.000004, -0.000003, 0.000000, 0.000000, -0.000005, -0.000004
-2311.539728, 0.000000, 1912.271969, 0.000002, -0.000004, -0.000000, 0.000000, 0.000003, -0.000005
-2250.333209, 0.000000, 1983.935596, 0.000005, 0.000002, -0.000000, 0.000000, 0.000006, 0.000002
-2186.905882, 0.000000, 2053.641318, -0.000000, 0.000006, -0.000000, 0.000000, 0.000000, 0.000007
-2121.320344, 0.000000, 2121.320344, -0.000006, 0.000002, -0.000000, -0.000000, -0.000006, 0.000003
-2053.641318, 0.000000, 2186.905882, -0.000004, -0.000005, -0.000000, -0.000000, -0.000003, -0.000004
-1983.935596, 0.000000, 2250.333209, 0.000005, -0.000004, -0.000000, -0.000000, 0.000004, -0.000003
-1912.271969, 0.000000, 2311.539728, 0.000006, 0.000005, -0.000000, -0.000000, 0.000005, 0.000005
-1838.721161, 0.000000, 2370.465037, -0.000003, 0.000008, -0.000000, -0.000000, -0.000003, 0.000007
-1763.355757, 0.000000, 2427.050983, -0.000008, -0.000001, -0.000000, 0.000000, -0.000005, -0.000000
-1686.250134, 0.000000, 2481.241723, 0.000001, -0.000006, -0.000000, 0.000000, 0.000001, -0.000004
-1607.480385, 0.000000, 2532.983777, 0.000007, 0.000002, -0.000000, 0.000000, 0.000005, 0.000002
-1527.124247, 0.000000, 2582.226081, -0.000001, 0.000010, -0.000000, 0.000000, -0.000001, 0.000006
-1445.261022, 0.000000, 2628.920040, -0.000010, 0.000001, 0.000000, 0.000000, -0.000005, 0.000001
-1361.971499, 0.000000, 2673.019573, -0.000002, -0.000009, 0.000000, 0.000000, -0.000001, -0.000004
-1277.337875, 0.000000, 2714.481157, 0.000009, -0.000001, -0.000000, 0.000000, 0.000005, 0.000000
-1191.443672, 0.000000, 2753.263877, 0.000002, 0.000011, -0.000000, 0.000000, 0.000001, 0.000005
-1104.373658, 0.000000, 2789.329458, -0.000010, 0.000004, -0.000000, 0.000000, -0.000004, 0.000002
